init_portfolio_value,final_portfolio_value,model_name
10000,20047.303632812505,model/fx-model_20230922192541.pkl
10000,41885.70849609388,model/fx-model_20230922192553.pkl
10000,16409.046386718677,model/fx-model_20230922192554.pkl
10000,19148.584218749947,model/fx-model_20230922192556.pkl
10000,18540.113261718696,model/fx-model_20230922192558.pkl
10000,37955.81320312497,model/fx-model_20230922192608.pkl
10000,16395.56347656241,model/fx-model_20230922192609.pkl
10000,42367.48494140615,model/fx-model_20230922192622.pkl
10000,46869.44767578114,model/fx-model_20230922192635.pkl
10000,42423.954160156,model/fx-model_20230922192648.pkl
10000,18042.287656249886,model/fx-model_20230922192736.pkl
10000,17975.36664062488,model/fx-model_20230922192737.pkl
10000,45198.121933593786,model/fx-model_20230922192752.pkl
10000,18978.375605468733,model/fx-model_20230922192754.pkl
10000,41729.20675781248,model/fx-model_20230922192806.pkl
10000,19167.431992187503,model/fx-model_20230922192808.pkl
10000,18772.170742187438,model/fx-model_20230922192810.pkl
10000,19853.520917968694,model/fx-model_20230922192811.pkl
10000,37067.21808593733,model/fx-model_20230922192822.pkl
10000,37889.84130859359,model/fx-model_20230922192834.pkl
10000,17912.863046874954,model/fx-model_20230922192922.pkl
10000,42302.02234374997,model/fx-model_20230922192934.pkl
10000,20064.78181640625,model/fx-model_20230922192936.pkl
10000,44244.24175781239,model/fx-model_20230922192950.pkl
10000,47935.94939453121,model/fx-model_20230922193003.pkl
10000,43328.3034765625,model/fx-model_20230922193015.pkl
10000,20789.658906249988,model/fx-model_20230922193017.pkl
10000,42512.65640625011,model/fx-model_20230922193030.pkl
10000,16580.843906249975,model/fx-model_20230922193031.pkl
10000,41014.07035156238,model/fx-model_20230922193043.pkl
10000,20254.60960937502,model/fx-model_20230922193134.pkl
10000,19386.153632812417,model/fx-model_20230922193135.pkl
10000,19913.31494140622,model/fx-model_20230922193137.pkl
10000,42388.542148437366,model/fx-model_20230922193150.pkl
10000,20130.51775390624,model/fx-model_20230922193152.pkl
10000,39118.32857421853,model/fx-model_20230922193204.pkl
10000,18047.03613281244,model/fx-model_20230922193205.pkl
10000,19990.221835937486,model/fx-model_20230922193207.pkl
10000,42834.30580078102,model/fx-model_20230922193219.pkl
10000,46981.79468749992,model/fx-model_20230922193231.pkl
10000,17507.50732421872,model/fx-model_20230922193325.pkl
10000,19777.592617187456,model/fx-model_20230922193327.pkl
10000,19926.12531250001,model/fx-model_20230922193329.pkl
10000,41644.18222656237,model/fx-model_20230922193344.pkl
10000,19020.845546874985,model/fx-model_20230922193346.pkl
10000,19605.349316406184,model/fx-model_20230922193348.pkl
10000,36089.68363281248,model/fx-model_20230922193359.pkl
10000,19948.609707031246,model/fx-model_20230922193400.pkl
10000,17698.59611328125,model/fx-model_20230922193402.pkl
10000,19322.7547265625,model/fx-model_20230922193405.pkl
10000,16938.16124999996,model/fx-model_20230922193454.pkl
10000,39687.274824218555,model/fx-model_20230922193507.pkl
10000,19042.26468749997,model/fx-model_20230922193509.pkl
10000,19661.76177734371,model/fx-model_20230922193511.pkl
10000,19560.09570312502,model/fx-model_20230922193513.pkl
10000,19362.172031249946,model/fx-model_20230922193514.pkl
10000,38501.7826757812,model/fx-model_20230922193524.pkl
10000,19527.52943359378,model/fx-model_20230922193525.pkl
10000,42828.94666015602,model/fx-model_20230922193538.pkl
10000,18444.37794921869,model/fx-model_20230922193540.pkl
10000,46286.06595703118,model/fx-model_20230922193630.pkl
10000,17943.758613281254,model/fx-model_20230922193632.pkl
10000,18513.041015624905,model/fx-model_20230922193633.pkl
10000,37402.54103515594,model/fx-model_20230922193643.pkl
10000,43497.87123046863,model/fx-model_20230922193656.pkl
10000,36520.60994140637,model/fx-model_20230922193705.pkl
10000,40229.63599609375,model/fx-model_20230922193716.pkl
10000,17661.99365234366,model/fx-model_20230922193718.pkl
10000,17540.90615234366,model/fx-model_20230922193719.pkl
10000,18970.84998046876,model/fx-model_20230922193721.pkl
10000,18358.887539062434,model/fx-model_20230922193809.pkl
10000,43889.62474609379,model/fx-model_20230922193821.pkl
10000,19772.68113281255,model/fx-model_20230922193823.pkl
10000,20009.35414062502,model/fx-model_20230922193825.pkl
10000,17819.88888671861,model/fx-model_20230922193826.pkl
10000,39421.8926562499,model/fx-model_20230922193836.pkl
10000,38948.985136718664,model/fx-model_20230922193846.pkl
10000,16134.011718749916,model/fx-model_20230922193847.pkl
10000,19985.734980468762,model/fx-model_20230922193849.pkl
10000,19734.361113281255,model/fx-model_20230922193851.pkl
10000,18849.103925781226,model/fx-model_20230922193941.pkl
10000,20302.590546875024,model/fx-model_20230922193943.pkl
10000,19782.287695312534,model/fx-model_20230922193945.pkl
10000,17352.120253906243,model/fx-model_20230922193946.pkl
10000,17640.125000000007,model/fx-model_20230922193948.pkl
10000,19251.9044921875,model/fx-model_20230922193950.pkl
10000,20182.11035156255,model/fx-model_20230922193952.pkl
10000,44153.46513671866,model/fx-model_20230922194004.pkl
10000,20048.32693359377,model/fx-model_20230922194006.pkl
10000,41593.1726953125,model/fx-model_20230922194018.pkl
10000,40857.91656249988,model/fx-model_20230922194118.pkl
10000,19809.106445312467,model/fx-model_20230922194120.pkl
10000,20739.64867187501,model/fx-model_20230922194122.pkl
10000,19886.11785156248,model/fx-model_20230922194124.pkl
10000,20581.2005859375,model/fx-model_20230922194126.pkl
10000,19911.033613281223,model/fx-model_20230922194127.pkl
10000,20852.40195312501,model/fx-model_20230922194129.pkl
